review,rating,app_name
Great app very useful and easy to use,5,ShopEase
Amazing experience fast and smooth,5,ShopEase
Very bad app keeps crashing,1,ShopEase
Too many bugs and slow performance,2,ShopEase
Average app nothing special,3,ShopEase
Excellent design and easy navigation,5,ShopEase
Terrible customer support not helpful,1,ShopEase
Nice features but needs improvement,3,ShopEase
Super fast checkout process,5,ShopEase
Worst app ever waste of time,1,ShopEase
Love this app very convenient,5,QuickBuy
App is slow and crashes often,1,QuickBuy
Not bad but can be better,3,QuickBuy
Very useful and helpful features,5,QuickBuy
Payment issues are annoying,2,QuickBuy
Great performance and fast loading,5,QuickBuy
Customer support is slow,2,QuickBuy
Simple and easy to use interface,5,QuickBuy
App freezes sometimes,2,QuickBuy
Highly recommend this app,5,QuickBuy
Good but needs updates,3,FastCart
Very smooth experience,5,FastCart
App is confusing and hard to use,2,FastCart
Excellent features and options,5,FastCart
Too slow and laggy,1,FastCart
Nice design but crashes sometimes,3,FastCart
Worst experience ever,1,FastCart
Very helpful and easy navigation,5,FastCart
Average performance,3,FastCart
Great app overall,5,FastCart
Keeps logging me out,2,MyStore
Login issues are frustrating,1,MyStore
Good app but slow loading,3,MyStore
Excellent support team,5,MyStore
App crashes frequently,1,MyStore
Very intuitive and simple,5,MyStore
Payment failed multiple times,2,MyStore
Nice and clean interface,5,MyStore
Nothing special just okay,3,MyStore
Amazing speed and performance,5,MyStore